name,price,origin,year,date,mileage,energy,gearbox,color,seats,doors,length,ratedHorsePower,powerDIN,consumption,brand,model
OPEL ASTRA VI,43890.0,France,2024.0,05/06/2024,1 km,Hybride essence électrique,Automatique,,,,,8 CV,(DIN) 180 ch,,OPEL,ASTRA VI
BMW SERIE 4 G82 M4,123080.0,France,2022.0,31/08/2022,15 680 km,Essence,Automatique,,,,,41 CV,(DIN) 510 ch - (moteur) 375 kW,"9,8 L/100 km",BMW,SERIE 4 G82 M4
DACIA DUSTER II phase 2,20470.0,France,2022.0,23/06/2022,25 512 km,Diesel,,,,,,6 CV,(DIN) 116 ch,5 L/100 km,DACIA,DUSTER II phase 2
DS 3 CROSSBACK,36610.0,France,2023.0,03/04/2023,11 km,Diesel,Automatique,CRISTAL PEARL,,,,7 CV,(DIN) 130 ch,"4,8 L/100 km",DS,3 CROSSBACK
JAGUAR XF 2 SPORTBRAKE,37430.0,Importé,2019.0,21/03/2019,90 790 km,Diesel,Automatique,,,,,19 CV,(DIN) 300 ch,,JAGUAR,XF 2 SPORTBRAKE
AUDI Q5 II phase 2,49860.0,France,2023.0,26/08/2023,10 025 km,Diesel,Automatique,noir,,,,9 CV,(DIN) 163 ch,"5,6 L/100 km",AUDI,Q5 II phase 2
OPEL CORSA VI,19020.0,France,2022.0,07/10/2022,44 792 km,Essence,Manuelle,rouge,,,,5 CV,(DIN) 100 ch,"5,5 L/100 km",OPEL,CORSA VI
PORSCHE PANAMERA,42330.0,France,2012.0,01/06/2012,217 788 km,Hybride essence électrique,Automatique,,,,,22 CV,(DIN) 380 ch,,PORSCHE,PANAMERA
MERCEDES GLA II,57570.0,France,2021.0,20/07/2021,27 135 km,Hybride essence électrique,Automatique,gris clair metal,,,,8 CV,(DIN) 161 ch - (moteur) 118 kW,,MERCEDES,GLA II
LAND ROVER RANGE ROVER SPORT III,166300.0,France,2024.0,24/03/2024,582 km,Hybride essence électrique,Automatique,,,,,28 CV,(DIN) 400 ch - (moteur) 265 kW,,LAND,ROVER RANGE ROVER SPORT III
NISSAN JUKE phase 2,12190.0,France,2017.0,19/12/2017,93 488 km,Essence,,,,,,6 CV,(DIN) 116 ch,"4,9 L/100 km",NISSAN,JUKE phase 2
VOLKSWAGEN GOLF VII phase 2,17830.0,France,2020.0,29/05/2020,94 217 km,Diesel,Manuelle,,,,,6 CV,(DIN) 116 ch,"4,1 L/100 km",VOLKSWAGEN,GOLF VII phase 2
PORSCHE CAYENNE III COUPE,141580.0,France,2023.0,31/05/2023,15 340 km,Hybride essence électrique,Automatique,blanc metal,,,,22 CV,(DIN) 340 ch - (moteur) 250 kW,,PORSCHE,CAYENNE III COUPE
BMW X5 F15,36020.0,Importé,2019.0,12/07/2019,105 350 km,Diesel,Automatique,gris anthracite metal,,,,13 CV,(DIN) 231 ch - (moteur) 170 kW,"5,3 L/100 km",BMW,X5 F15
RENAULT CLIO IV phase 2,13510.0,France,2019.0,20/02/2019,13 452 km,Essence,,,,,,5 CV,(DIN) 90 ch,5 L/100 km,RENAULT,CLIO IV phase 2
SEAT ARONA,29480.0,Importé,2023.0,07/11/2023,6 892 km,Essence,Automatique,gris,,,,6 CV,(DIN) 110 ch - (moteur) 81 kW,,SEAT,ARONA
KIA SPORTAGE IV,26140.0,Importé,2017.0,01/12/2017,34 802 km,Diesel,Automatique,rouge metal,,,,11 CV,(DIN) 185 ch - (moteur) 136 kW,"6,3 L/100 km",KIA,SPORTAGE IV
BMW X1 U11,42200.0,Importé,2023.0,06/02/2023,25 868 km,Essence,Automatique,,,,,7 CV,(DIN) 136 ch,,BMW,X1 U11
VOLKSWAGEN TIGUAN II phase 2,36250.0,France,2022.0,19/07/2022,39 758 km,Diesel,Automatique,,,,,8 CV,(DIN) 150 ch,"5,5 L/100 km",VOLKSWAGEN,TIGUAN II phase 2
PEUGEOT 508 II,31450.0,France,2020.0,23/02/2020,44 996 km,Diesel,Automatique,,,,,8 CV,(DIN) 163 ch,"4,5 L/100 km",PEUGEOT,508 II
SEAT ARONA,25770.0,Importé,2023.0,30/06/2023,23 411 km,Essence,Automatique,gris,,,,6 CV,(DIN) 110 ch - (moteur) 81 kW,,SEAT,ARONA
MERCEDES CLASSE CLS III,63620.0,France,2020.0,27/12/2020,131 125 km,Hybride essence électrique,Automatique,Noir,,,,25 CV,(DIN) 367 ch,,MERCEDES,CLASSE CLS III
OPEL ZAFIRA III phase 2,18790.0,France,2018.0,16/01/2019,80 116 km,Diesel,Manuelle,,,,,7 CV,(DIN) 134 ch,"4,5 L/100 km",OPEL,ZAFIRA III phase 2
VOLKSWAGEN GOLF 8,29580.0,Importé,2021.0,12/05/2021,55 849 km,Diesel,Automatique,gris clair,,,,8 CV,(DIN) 150 ch,,VOLKSWAGEN,GOLF 8
MERCEDES CLASSE C IV CABRIOLET,39570.0,Importé,2018.0,06/03/2018,61 525 km,Essence,Automatique,,,,,14 CV,(DIN) 245 ch - (moteur) 180 kW,"6,7 L/100 km",MERCEDES,CLASSE C IV CABRIOLET
PEUGEOT 3008 II,21810.0,France,2019.0,17/10/2019,132 036 km,Diesel,,,,,,6 CV,(DIN) 131 ch,"4,2 L/100 km",PEUGEOT,3008 II
VOLVO V60,17680.0,France,2016.0,11/03/2016,147 784 km,Diesel,,,,,,7 CV,(DIN) 136 ch,"4,3 L/100 km",VOLVO,V60
ALPINE A110 II,81110.0,France,2020.0,16/12/2020,12 200 km,Essence,Automatique,,,,,15 CV,(DIN) 252 ch,5 L/100 km,ALPINE,A110 II
VOLKSWAGEN T-CROSS,28590.0,Importé,2024.0,27/11/2024,11 km,Essence,Automatique,gris,,,,6 CV,(DIN) 110 ch,,VOLKSWAGEN,T-CROSS
DACIA SANDERO 2,14330.0,Importé,2021.0,12/12/2021,31 908 km,Essence,Manuelle,beige,,,,4 CV,(DIN) 75 ch,,DACIA,SANDERO 2
NISSAN JUKE phase 2,18630.0,France,2019.0,19/04/2019,59 709 km,Essence,,,,,,7 CV,(DIN) 117 ch - (moteur) 86 kW,"5,2 L/100 km",NISSAN,JUKE phase 2
FIAT 500 (2E GENERATION),14600.0,Importé,2021.0,06/10/2021,57 627 km,Hybride essence électrique,Manuelle,rouge,,,,4 CV,(DIN) 70 ch,,FIAT,500 (2E GENERATION)
PEUGEOT 308 III,44730.0,France,2022.0,27/02/2022,21 707 km,Hybride essence électrique,Automatique,Bleu,,,,10 CV,(DIN) 225 ch,,PEUGEOT,308 III
BMW X1 F48,22980.0,France,2019.0,09/08/2019,115 582 km,Diesel,,,,,,6 CV,(DIN) 116 ch,"4,5 L/100 km",BMW,X1 F48
AUDI Q3 II,44260.0,France,2020.0,06/05/2020,55 020 km,Diesel,,,,,,8 CV,(DIN) 150 ch,"4,7 L/100 km",AUDI,Q3 II
FORD FIESTA 6,17330.0,Importé,2020.0,05/08/2020,67 068 km,Diesel,Manuelle,,,,,5 CV,(DIN) 85 ch,,FORD,FIESTA 6
MERCEDES CLASSE A IV,35680.0,France,2021.0,12/11/2021,79 602 km,Hybride essence électrique,Automatique,noir,,,,8 CV,(DIN) 161 ch,,MERCEDES,CLASSE A IV
AUDI A3 IV SPORTBACK,43990.0,France,2023.0,29/05/2023,23 334 km,Diesel,Automatique,gris,,,,8 CV,(DIN) 150 ch,"4,6 L/100 km",AUDI,A3 IV SPORTBACK
AUDI Q8,118980.0,France,2022.0,21/12/2022,47 106 km,Hybride essence électrique,Automatique,Noir,,,,22 CV,(DIN) 462 ch,,AUDI,Q8
PEUGEOT 3008 II,25500.0,France,2020.0,14/05/2020,70 313 km,Essence,Automatique,,,,,7 CV,(DIN) 131 ch,"5,1 L/100 km",PEUGEOT,3008 II
MERCEDES CLASSE A III phase 2,26690.0,France,2019.0,21/02/2019,48 244 km,Essence,,,,,,8 CV,(DIN) 156 ch,"4,6 L/100 km",MERCEDES,CLASSE A III phase 2
PEUGEOT 2008 II,33110.0,France,2023.0,13/04/2023,23 875 km,Diesel,Automatique,,,,,7 CV,(DIN) 131 ch,"4,8 L/100 km",PEUGEOT,2008 II
RENAULT MEGANE V,36730.0,France,2023.0,01/12/2023,48 588 km,Electrique,,,,,,4 CV,(DIN) 220 ch,,RENAULT,MEGANE V
RENAULT ARKANA,33570.0,Importé,2023.0,19/09/2023,7 208 km,Hybride essence électrique,Automatique,noir,,,,7 CV,(DIN) 140 ch,,RENAULT,ARKANA
PEUGEOT EXPERT III FOURGON,27820.0,France,2018.0,23/11/2018,101 839 km,Diesel,Automatique,,,,,5 CV,(DIN) 95 ch,"5,3 L/100 km",PEUGEOT,EXPERT III FOURGON
PEUGEOT 208 II,21510.0,France,2021.0,07/09/2021,49 644 km,Diesel,Manuelle,jaune,,,,5 CV,(DIN) 102 ch,"4,2 L/100 km",PEUGEOT,208 II
BMW X1 F48,31060.0,France,2019.0,08/07/2019,66 267 km,Diesel,Automatique,noir,,,,10 CV,(DIN) 190 ch,"4,8 L/100 km",BMW,X1 F48
LAND ROVER RANGE ROVER EVOQUE,19770.0,France,2014.0,29/01/2015,225 810 km,,,,,,,11 CV,(DIN) 190 ch - (moteur) 140 kW,"5,7 L/100 km",LAND,ROVER RANGE ROVER EVOQUE
VOLVO XC60 II,54970.0,France,2020.0,01/08/2020,105 300 km,Hybride essence électrique,Automatique,gris foncé metal,5.0,5.0,,17 CV,(DIN) 407 ch - (moteur) 287 kW,,VOLVO,XC60 II
PORSCHE CAYENNE III COUPE,131230.0,France,2021.0,22/09/2021,57 875 km,Hybride essence électrique,Automatique,,,,,22 CV,(DIN) 462 ch,,PORSCHE,CAYENNE III COUPE
KIA NIRO phase 2,27420.0,France,2021.0,04/05/2021,44 787 km,Hybride essence électrique,Automatique,gris foncé,,,,5 CV,(DIN) 141 ch,,KIA,NIRO phase 2
CITROEN JUMPY III FOURGON,25390.0,France,2021.0,25/08/2021,140 874 km,Diesel,Manuelle,,,,,7 CV,(DIN) 122 ch,,CITROEN,JUMPY III FOURGON
RENAULT CLIO V,16210.0,France,2022.0,01/12/2022,46 667 km,Essence,Manuelle,,,,,5 CV,(DIN) 91 ch,"5,2 L/100 km",RENAULT,CLIO V
CITROEN C3 AIRCROSS,17370.0,France,2021.0,10/05/2021,37 670 km,Essence,Manuelle,,,,,5 CV,(DIN) 110 ch,,CITROEN,C3 AIRCROSS
RENAULT TWINGO III phase 2,12420.0,France,2021.0,07/03/2021,38 407 km,Essence,Manuelle,rouge metal,,,,4 CV,(DIN) 73 ch - (moteur) 55 kW,"5,4 L/100 km",RENAULT,TWINGO III phase 2
PEUGEOT 208 phase 2,15520.0,France,2020.0,15/12/2020,30 529 km,Essence,Manuelle,,,,,5 CV,(DIN) 110 ch,"4,5 L/100 km",PEUGEOT,208 phase 2
PEUGEOT 508 II SW,31730.0,France,2022.0,29/01/2023,66 807 km,Diesel,Automatique,gris,,,,7 CV,(DIN) 130 ch,"4,8 L/100 km",PEUGEOT,508 II SW
MINI COUNTRYMAN II,21280.0,France,2020.0,21/01/2021,53 489 km,Diesel,Manuelle,,,,,6 CV,(DIN) 116 ch,"4,9 L/100 km",MINI,COUNTRYMAN II
BMW SERIE 1 F20 5 PORTES phase 2,25740.0,France,2017.0,28/07/2017,25 648 km,Diesel,Automatique,,,,,7 CV,(DIN) 150 ch,"3,8 L/100 km",BMW,SERIE 1 F20 5 PORTES phase 2
VOLKSWAGEN GOLF SPORTSVAN phase 2,21750.0,France,2020.0,12/06/2020,113 610 km,Diesel,,,,,,6 CV,(DIN) 116 ch,,VOLKSWAGEN,GOLF SPORTSVAN phase 2
VOLKSWAGEN SHARAN II phase 2,36700.0,France,2020.0,16/02/2020,71 243 km,Diesel,,,,,,8 CV,(DIN) 150 ch,"5,2 L/100 km",VOLKSWAGEN,SHARAN II phase 2
MERCEDES CLASSE A IV,25560.0,France,2020.0,18/10/2020,100 409 km,Essence,,,,,,6 CV,(DIN) 109 ch,"5,7 L/100 km",MERCEDES,CLASSE A IV
RENAULT CLIO V,17360.0,France,2020.0,08/01/2021,145 435 km,Diesel,Manuelle,Noir,,,,5 CV,(DIN) 116 ch,"3,6 L/100 km",RENAULT,CLIO V
AUDI Q5 II,43780.0,France,2019.0,27/08/2019,88 087 km,Diesel,Automatique,,,,,10 CV,(DIN) 190 ch,"4,8 L/100 km",AUDI,Q5 II
PEUGEOT 208 II,22740.0,France,2022.0,01/10/2022,35 509 km,Essence,,,,,,5 CV,(DIN) 101 ch,"5,3 L/100 km",PEUGEOT,208 II
AUDI A4 ALLROAD II,26730.0,France,2018.0,27/12/2018,141 932 km,Diesel,,,,,,9 CV,(DIN) 163 ch,"4,6 L/100 km",AUDI,A4 ALLROAD II
OPEL CORSA V,15360.0,France,2020.0,18/04/2020,44 244 km,Essence,,,,,,5 CV,(DIN) 90 ch,"5,6 L/100 km",OPEL,CORSA V
FIAT DUCATO,43180.0,France,2009.0,25/06/2009,95 640 km,Diesel,,,,,,8 CV,(DIN) 131 ch,,FIAT,DUCATO
PEUGEOT BOXER II,24360.0,France,2017.0,24/04/2017,114 363 km,Diesel,Manuelle,,,,,7 CV,(DIN) 131 ch,"6,3 L/100 km",PEUGEOT,BOXER II
PEUGEOT 307 CC phase 2,10360.0,France,2009.0,21/07/2009,158 600 km,Essence,Automatique,gris metal,,,,9 CV,(DIN) 141 ch - (moteur) 103 kW,"8,4 L/100 km",PEUGEOT,307 CC phase 2
BMW I3 phase 2,23520.0,France,2021.0,26/01/2022,21 763 km,Electrique,,,,,,,,,BMW,I3 phase 2
PORSCHE 911 TYPE 993,136760.0,France,1999.0,20/04/1999,198 240 km,Essence,Manuelle,gris,,,,21 CV,(DIN) 286 ch,"9,1 L/100 km",PORSCHE,911 TYPE 993
VOLVO XC60 II,56070.0,France,2022.0,07/09/2022,21 200 km,Diesel,Automatique,blanc opaque (verni sans reflet),,,,11 CV,(DIN) 197 ch - (moteur) 145 kW,,VOLVO,XC60 II
CITROEN C3 III phase 2,16220.0,France,2023.0,23/02/2023,17 620 km,Essence,Manuelle,,,,,4 CV,(DIN) 83 ch,"5,4 L/100 km",CITROEN,C3 III phase 2
BMW X3 F25 phase 2,23080.0,France,2017.0,24/11/2017,145 889 km,Diesel,Automatique,,,,,8 CV,(DIN) 150 ch,"4,4 L/100 km",BMW,X3 F25 phase 2
MINI III 3P,23470.0,France,2019.0,14/06/2019,31 406 km,Essence,,,,,,5 CV,(DIN) 102 ch - (moteur) 75 kW,"5,4 L/100 km",MINI,III 3P
RENAULT KANGOO II EXPRESS phase 2,14620.0,France,2020.0,25/10/2020,149 653 km,,,,,,,5 CV,(DIN) 90 ch,"4,2 L/100 km",RENAULT,KANGOO II EXPRESS phase 2
SUZUKI SWIFT II,6530.0,France,2007.0,16/03/2007,141 700 km,Essence,Manuelle,gris metal,,,,6 CV,(DIN) 91 ch - (moteur) 67 kW,"6,2 L/100 km",SUZUKI,SWIFT II
PORSCHE 911 TYPE 991 CABRIOLET TURBO phase 2,192820.0,Importé,2017.0,11/04/2017,59 841 km,Essence,Automatique,,,,,49 CV,(DIN) 581 ch - (moteur) 427 kW,"7,6 L/100 km",PORSCHE,911 TYPE 991 CABRIOLET TURBO phase 2
VOLKSWAGEN GOLF VII phase 2,17830.0,France,2020.0,29/05/2020,94 217 km,Diesel,Manuelle,,,,,6 CV,(DIN) 116 ch,"4,1 L/100 km",VOLKSWAGEN,GOLF VII phase 2
NISSAN JUKE II,21630.0,France,2021.0,07/03/2021,39 477 km,Essence,Manuelle,blanc metal,,,,6 CV,(DIN) 117 ch - (moteur) 86 kW,5 L/100 km,NISSAN,JUKE II
PEUGEOT 3008 II phase 2,41790.0,France,2023.0,26/12/2023,11 km,Essence,Automatique,platine,,,,7 CV,(DIN) 130 ch,"6,4 L/100 km",PEUGEOT,3008 II phase 2
PEUGEOT 3008 II,27950.0,France,2021.0,09/09/2021,41 793 km,Essence,Automatique,,,,,6 CV,(DIN) 131 ch,"5,1 L/100 km",PEUGEOT,3008 II
DS 7 CROSSBACK,35380.0,France,2019.0,02/02/2019,90 682 km,Essence,,,,,,13 CV,(DIN) 224 ch,"5,9 L/100 km",DS,7 CROSSBACK
PEUGEOT 208,12180.0,France,2016.0,15/07/2016,94 147 km,Essence,,,,,,4 CV,(DIN) 82 ch - (moteur) 60 kW,"3,9 L/100 km",PEUGEOT,208
BMW SERIE 2 F45 ACTIVE TOURER,15890.0,France,2017.0,03/06/2017,187 620 km,Diesel,Automatique,,,,,7 CV,(DIN) 136 ch - (moteur) 110 kW,"3,8 L/100 km",BMW,SERIE 2 F45 ACTIVE TOURER
VOLVO XC40,44620.0,France,2023.0,26/10/2023,33 370 km,Essence,,,,,,9 CV,(DIN) 163 ch - (moteur) 120 kW,"6,7 L/100 km",VOLVO,XC40
PORSCHE CAYENNE II phase 2,67180.0,France,2016.0,16/02/2016,85 386 km,Essence,,,,,,49 CV,(DIN) 570 ch - (moteur) 419 kW,"8,9 L/100 km",PORSCHE,CAYENNE II phase 2
VOLKSWAGEN TIGUAN II,24870.0,France,2019.0,07/10/2019,125 685 km,Diesel,Automatique,,,,,8 CV,(DIN) 150 ch,"4,4 L/100 km",VOLKSWAGEN,TIGUAN II
CITROEN BERLINGO 3 MULTISPACE,34130.0,Importé,2022.0,12/09/2022,43 798 km,Diesel,Manuelle,,,,,5 CV,,,CITROEN,BERLINGO 3 MULTISPACE
OPEL CROSSLAND X,19360.0,France,2018.0,04/02/2018,68 136 km,Essence,Automatique,,,,,6 CV,(DIN) 110 ch,"4,8 L/100 km",OPEL,CROSSLAND X
PEUGEOT 3008 II,29010.0,France,2020.0,29/11/2020,62 904 km,Essence,Manuelle,blanc,,,,7 CV,(DIN) 131 ch,"5,1 L/100 km",PEUGEOT,3008 II
BENTLEY CONTINENTAL GTC,58380.0,France,2008.0,18/02/2008,156 780 km,Essence,Automatique,noir verni,,2.0,,51 CV,(DIN) 561 ch,"11,9 L/100 km",BENTLEY,CONTINENTAL GTC
RENAULT ARKANA,37180.0,France,2022.0,05/03/2022,28 520 km,Hybride essence électrique,Automatique,noir,,,,5 CV,(DIN) 94 ch,,RENAULT,ARKANA
SKODA KAMIQ,26050.0,France,2023.0,01/05/2023,16 676 km,Essence,Automatique,,,,,6 CV,(DIN) 110 ch,"5,8 L/100 km",SKODA,KAMIQ
PORSCHE MACAN,71920.0,Importé,2018.0,30/05/2018,139 872 km,Essence,Automatique,,,,,26 CV,(DIN) 360 ch - (moteur) 265 kW,"8,8 L/100 km",PORSCHE,MACAN
VOLKSWAGEN T-CROSS,28590.0,Importé,2024.0,27/11/2024,11 km,Essence,Automatique,gris,,,,6 CV,(DIN) 110 ch,,VOLKSWAGEN,T-CROSS
DS 3 CROSSBACK,30480.0,France,2022.0,14/09/2022,75 333 km,Diesel,Automatique,GRIS FONCE,,,,7 CV,(DIN) 131 ch,"4,8 L/100 km",DS,3 CROSSBACK
CITROEN BERLINGO II phase 3,12240.0,France,2018.0,31/03/2018,177 333 km,Diesel,Manuelle,,,,,5 CV,(DIN) 99 ch - (moteur) 73 kW,"3,9 L/100 km",CITROEN,BERLINGO II phase 3
RENAULT MEGANE IV,19820.0,France,2019.0,15/04/2019,144 578 km,,,,,,,8 CV,(DIN) 163 ch,"4,5 L/100 km",RENAULT,MEGANE IV
MINI MINI 3 5P,26910.0,Importé,2023.0,27/05/2023,5 897 km,Essence,Automatique,gris,,,,7 CV,(DIN) 136 ch - (moteur) 100 kW,,MINI,MINI 3 5P
RENAULT MEGANE III COUPE CABRIOLET,11380.0,France,2013.0,31/07/2013,111 022 km,Diesel,Manuelle,,,,,6 CV,(DIN) 110 ch,"4,2 L/100 km",RENAULT,MEGANE III COUPE CABRIOLET
SUZUKI VITARA 4,27080.0,Importé,2023.0,21/11/2023,11 km,Hybride essence électrique,Manuelle,blanc,,,,7 CV,(DIN) 129 ch - (moteur) 95 kW,,SUZUKI,VITARA 4
MERCEDES CLASSE C IV CABRIOLET,47450.0,France,2019.0,04/09/2019,87 230 km,Diesel,Automatique,,,,,11 CV,(DIN) 204 ch,5 L/100 km,MERCEDES,CLASSE C IV CABRIOLET
PEUGEOT 308 II phase 2,32660.0,France,2023.0,09/09/2023,2 943 km,Diesel,Automatique,Gris,,,,7 CV,(DIN) 131 ch,"4,6 L/100 km",PEUGEOT,308 II phase 2
PEUGEOT 2008 II,32980.0,France,2023.0,24/06/2023,1 100 km,Essence,Automatique,,,,,7 CV,(DIN) 131 ch,"5,9 L/100 km",PEUGEOT,2008 II
VOLKSWAGEN T-CROSS,30960.0,Importé,2024.0,06/01/2025,12 km,Essence,Automatique,gris,,,,6 CV,(DIN) 110 ch - (moteur) 80 kW,,VOLKSWAGEN,T-CROSS
VOLKSWAGEN TIGUAN 2,37100.0,Importé,2020.0,02/07/2020,63 856 km,Diesel,Automatique,gris,,,,8 CV,(DIN) 150 ch,,VOLKSWAGEN,TIGUAN 2
MERCEDES CLASSE C IV SW phase 2,38300.0,France,2020.0,28/10/2020,56 839 km,Essence,Automatique,gris,,,,10 CV,(DIN) 184 ch,6 L/100 km,MERCEDES,CLASSE C IV SW phase 2
FORD MUSTANG VI CABRIOLET,60480.0,Importé,2018.0,21/06/2018,19 360 km,Essence,Automatique,,,,,33 CV,(DIN) 421 ch - (moteur) 310 kW,12 L/100 km,FORD,MUSTANG VI CABRIOLET
PEUGEOT 5008 II phase 2,49120.0,France,2022.0,14/01/2023,21 645 km,Essence,Automatique,blanc,,,,10 CV,(DIN) 180 ch,7 L/100 km,PEUGEOT,5008 II phase 2
AUDI Q3 II,50270.0,Importé,2023.0,30/10/2023,54 km,Diesel,Automatique,argent metal,,,,8 CV,(DIN) 150 ch - (moteur) 110 kW,"5,4 L/100 km",AUDI,Q3 II
FIAT 500 C II phase 2,19470.0,France,2022.0,08/09/2022,26 466 km,Essence,Manuelle,,,,,4 CV,(DIN) 71 ch,,FIAT,500 C II phase 2
PEUGEOT 208 II,21510.0,France,2021.0,07/09/2021,49 644 km,Diesel,Manuelle,jaune,,,,5 CV,(DIN) 102 ch,"4,2 L/100 km",PEUGEOT,208 II
PEUGEOT 2008 II,32050.0,France,2022.0,09/08/2022,29 585 km,Essence,Automatique,gris,,,,7 CV,(DIN) 130 ch,6 L/100 km,PEUGEOT,2008 II
VOLKSWAGEN GOLF VII,12540.0,France,2015.0,13/07/2015,161 233 km,Essence,Manuelle,rouge,,,,5 CV,(DIN) 105 ch,"4,3 L/100 km",VOLKSWAGEN,GOLF VII
DS 7 CROSSBACK,46850.0,France,2021.0,30/04/2021,51 455 km,Hybride essence électrique,Automatique,blanc,,,,11 CV,(DIN) 300 ch,,DS,7 CROSSBACK
MCLAREN 570S,198380.0,Importé,2017.0,10/03/2017,17 608 km,Essence,Automatique,orange metal,,,,,(DIN) 570 ch - (moteur) 419 kW,,MCLAREN,570S
JEEP COMPASS II phase 2,46410.0,France,2024.0,26/06/2024,11 km,Hybride essence électrique,Automatique,,,,,10 CV,(DIN) 241 ch - (moteur) 132 kW,,JEEP,COMPASS II phase 2
VOLKSWAGEN GOLF VII phase 2,23870.0,France,2020.0,28/04/2020,55 917 km,Essence,Automatique,,,,,8 CV,(DIN) 150 ch,"5,1 L/100 km",VOLKSWAGEN,GOLF VII phase 2
VOLKSWAGEN TIGUAN II,31500.0,France,2018.0,12/03/2018,41 030 km,Diesel,Automatique,,,,,8 CV,(DIN) 150 ch,"4,5 L/100 km",VOLKSWAGEN,TIGUAN II
KIA XCEED phase 2,26020.0,France,2022.0,28/07/2022,77 734 km,Diesel,Automatique,gris,,,,7 CV,(DIN) 136 ch,"5,1 L/100 km",KIA,XCEED phase 2
LAND ROVER RANGE ROVER EVOQUE,19700.0,France,2015.0,25/03/2015,188 848 km,Diesel,Manuelle,,,,,8 CV,(DIN) 150 ch - (moteur) 110 kW,"4,5 L/100 km",LAND,ROVER RANGE ROVER EVOQUE
RENAULT ESPACE V phase 2,38160.0,France,2021.0,28/12/2021,90 006 km,Diesel,,,,,,11 CV,(DIN) 200 ch,"6,6 L/100 km",RENAULT,ESPACE V phase 2
MINI MINI III 3P,21920.0,France,2016.0,13/10/2016,144 884 km,Essence,Automatique,,,,,10 CV,(DIN) 192 ch,"4,4 L/100 km",MINI,MINI III 3P
JEEP COMPASS II,22020.0,France,2019.0,14/11/2019,74 357 km,Diesel,Manuelle,,,,,6 CV,(DIN) 120 ch - (moteur) 88 kW,4 L/100 km,JEEP,COMPASS II
FIAT 500 X,16590.0,France,2018.0,06/09/2018,98 679 km,Diesel,Manuelle,,,,,6 CV,(DIN) 120 ch,"4,1 L/100 km",FIAT,500 X
AUDI SQ7 phase 2,66130.0,France,2018.0,05/08/2018,145 081 km,Diesel,,,,,,32 CV,(DIN) 435 ch,"6,9 L/100 km",AUDI,SQ7 phase 2
DS 3 CROSSBACK,39580.0,France,2023.0,15/06/2023,12 km,Diesel,Automatique,bleu,,,,7 CV,(DIN) 130 ch,"4,8 L/100 km",DS,3 CROSSBACK
AUDI A4 (5E GENERATION) AVANT,33330.0,Importé,2020.0,11/12/2020,85 255 km,Diesel,Automatique,gris foncé,,,,10 CV,(DIN) 190 ch,,AUDI,A4 (5E GENERATION) AVANT
OPEL GRANDLAND X,29840.0,France,2021.0,08/09/2021,40 503 km,Hybride essence électrique,Automatique,,,,,9 CV,(DIN) 300 ch,,OPEL,GRANDLAND X
DODGE RAM,118540.0,Importé,2024.0,16/09/2024,105 km,Essence,Automatique,noir metal,,,,32 CV,(DIN) 390 ch,,DODGE,RAM
PEUGEOT 5008 II,26200.0,France,2021.0,10/07/2021,93 414 km,Diesel,Manuelle,blanc opaque (verni sans reflet),7.0,5.0,,6 CV,(DIN) 131 ch - (moteur) 96 kW,"5,3 L/100 km",PEUGEOT,5008 II
VOLKSWAGEN TIGUAN II phase 2,43980.0,France,2022.0,20/04/2022,77 747 km,Diesel,,,,,,8 CV,(DIN) 150 ch,"5,4 L/100 km",VOLKSWAGEN,TIGUAN II phase 2
FIAT 500 X phase 2,17790.0,France,2020.0,02/06/2020,85 863 km,Diesel,Manuelle,,,,,6 CV,(DIN) 120 ch,"4,7 L/100 km",FIAT,500 X phase 2
AUDI Q3 II,39910.0,France,2021.0,26/09/2021,90 371 km,Diesel,,,,,,8 CV,(DIN) 150 ch,"5,9 L/100 km",AUDI,Q3 II
MAZDA MX5 IV ST,32260.0,France,2020.0,26/06/2020,44 736 km,Essence,Manuelle,,,,,10 CV,(DIN) 184 ch - (moteur) 135 kW,"6,9 L/100 km",MAZDA,MX5 IV ST
BMW SERIE 1 E81 3 PORTES,14140.0,Importé,2010.0,01/02/2011,132 610 km,Essence,,,,,,10 CV,(DIN) 170 ch - (moteur) 125 kW,"5,4 L/100 km",BMW,SERIE 1 E81 3 PORTES
PEUGEOT 3008 II,18820.0,France,2018.0,18/12/2018,107 161 km,Essence,,,,,,7 CV,(DIN) 131 ch,"4,5 L/100 km",PEUGEOT,3008 II
FORD KUGA III,32310.0,France,2021.0,20/08/2021,43 952 km,Diesel,Manuelle,,,,,8 CV,(DIN) 150 ch,,FORD,KUGA III
AUDI A3 IV SPORTBACK,33320.0,France,2021.0,15/07/2021,20 001 km,Essence,Automatique,noir,,,,8 CV,(DIN) 150 ch,"5,6 L/100 km",AUDI,A3 IV SPORTBACK
CITROEN C3 AIRCROSS phase 2,25180.0,France,2023.0,02/01/2024,21 847 km,Diesel,Automatique,bleu,,,,6 CV,(DIN) 120 ch,5 L/100 km,CITROEN,C3 AIRCROSS phase 2
FORD FIESTA VI,17090.0,France,2021.0,29/09/2021,62 760 km,Diesel,,,,,,4 CV,(DIN) 86 ch,"4,3 L/100 km",FORD,FIESTA VI
RENAULT CLIO 5,17830.0,Importé,2022.0,19/01/2023,15 452 km,Essence,Manuelle,,,,,5 CV,(DIN) 100 ch,,RENAULT,CLIO 5
