name,price,year,date,mileage,energy,gearbox,color,doors,ratedHorsePower,powerDIN,brand,model
PEUGEOT 208 phase 2,15520,2020,16/04/2020,49 963 km,Essence,Manuelle,noir,5.0,4 CV,(DIN) 82 ch,PEUGEOT,208 phase 2
CITROEN C5 AIRCROSS,24840,2020,07/11/2020,100 577 km,Diesel,Automatique,GRIS CLAIR,5.0,9 CV,(DIN) 177 ch,CITROEN,C5 AIRCROSS
PEUGEOT 308 III,35950,2023,19/11/2023,11 km,Diesel,Automatique,gris,5.0,7 CV,(DIN) 130 ch,PEUGEOT,308 III
CITROEN C3 III phase 2,23110,2021,13/12/2021,28 445 km,Essence,Automatique,BLANC/TOIT ROUGE,5.0,6 CV,(DIN) 110 ch,CITROEN,C3 III phase 2
CITROEN C4 III,32100,2024,08/09/2024,1 km,Essence,Automatique,noir,5.0,7 CV,(DIN) 131 ch,CITROEN,C4 III
PEUGEOT 208 (2E GENERATION),20550,2023,11/11/2023,1 669 km,Essence,Manuelle,jaune,5.0,4 CV,(DIN) 75 ch,PEUGEOT,208 (2E GENERATION)
MERCEDES GLB,45610,2021,04/11/2021,62 223 km,Diesel,Automatique,blanc metal,5.0,8 CV,(DIN) 150 ch - (moteur) 110 kW,MERCEDES,GLB
VOLKSWAGEN TIGUAN 2 ALLSPACE,36720,2020,01/08/2020,75 644 km,Diesel,Automatique,BLANC PUR,5.0,8 CV,(DIN) 150 ch,VOLKSWAGEN,TIGUAN 2 ALLSPACE
PORSCHE 911 TYPE 991 phase 2,172870,2018,24/02/2018,15 281 km,Essence,Automatique,gris clair,2.0,34 CV,(DIN) 450 ch,PORSCHE,911 TYPE 991 phase 2
OPEL CORSA VI,18110,2022,02/06/2022,47 835 km,Essence,Manuelle,BLEU,5.0,5 CV,(DIN) 101 ch,OPEL,CORSA VI
JAGUAR E-PACE,29290,2019,30/01/2020,102 274 km,Diesel,Automatique,gris,5.0,11 CV,(DIN) 180 ch,JAGUAR,E-PACE
RENAULT TRAFIC III phase 2,46120,2024,09/07/2024,1 km,Diesel,Manuelle,gris,4.0,7 CV,(DIN) 131 ch,RENAULT,TRAFIC III phase 2
MERCEDES GLA phase 2,20920,2018,18/08/2018,129 831 km,Diesel,Manuelle,gris,5.0,5 CV,(DIN) 109 ch,MERCEDES,GLA phase 2
LAND ROVER RANGE ROVER EVOQUE CABRIOLET phase 2,41280,2018,24/03/2018,104 312 km,Diesel,Automatique,blanc metal,3.0,10 CV,(DIN) 180 ch - (moteur) 132 kW,LAND,ROVER RANGE ROVER EVOQUE CABRIOLET phase 2
KIA E-NIRO phase 2,34420,2021,15/09/2021,69 242 km,Electrique,Automatique,(ABP) AURORA BLACK PEARL P,5.0,1 CV,(DIN) 39 ch,KIA,E-NIRO phase 2
VOLKSWAGEN TIGUAN phase 2,18510,2015,25/10/2015,118 701 km,Diesel,Manuelle,gris metal,5.0,6 CV,(DIN) 110 ch - (moteur) 81 kW,VOLKSWAGEN,TIGUAN phase 2
BMW X3 F25,22400,2013,09/08/2013,177 179 km,Diesel,Automatique,blanc verni,5.0,10 CV,(DIN) 184 ch - (moteur) 135 kW,BMW,X3 F25
RENAULT CAPTUR phase 2,17060,2020,20/03/2020,117 626 km,Diesel,Automatique,gris,5.0,5 CV,(DIN) 90 ch,RENAULT,CAPTUR phase 2
MASERATI LEVANTE,72500,2020,21/09/2020,97 440 km,Diesel,Automatique,gris,5.0,18 CV,(DIN) 275 ch,MASERATI,LEVANTE
VOLKSWAGEN POLO V phase 2,12700,2016,01/11/2016,66 903 km,Essence,Manuelle,rouge metal,5.0,5 CV,(DIN) 90 ch - (moteur) 66 kW,VOLKSWAGEN,POLO V phase 2
DS 3 CROSSBACK,25740,2020,29/04/2020,50 176 km,Essence,Automatique,blanc opaque (verni sans reflet),5.0,6 CV,(DIN) 131 ch - (moteur) 96 kW,DS,3 CROSSBACK
VOLVO XC40,42000,2020,04/10/2020,40 839 km,Essence,Automatique,gris,5.0,10 CV,(DIN) 190 ch,VOLVO,XC40
DS 7 CROSSBACK,42100,2022,06/11/2022,29 133 km,Hybride essence électrique,Automatique,bleu foncé,5.0,10 CV,(DIN) 225 ch,DS,7 CROSSBACK
PORSCHE MACAN phase 2,56330,2019,05/06/2019,74 405 km,Essence,Automatique,noir,5.0,16 CV,(DIN) 245 ch,PORSCHE,MACAN phase 2
PORSCHE MACAN phase 2,62280,2019,08/04/2019,97 337 km,Essence,Automatique,argent,5.0,15 CV,(DIN) 252 ch,PORSCHE,MACAN phase 2
PEUGEOT 2008 II,32480,2022,11/11/2022,47 741 km,Diesel,Automatique,ROUGE CLAIR,5.0,7 CV,(DIN) 131 ch,PEUGEOT,2008 II
CITROEN C3 III phase 2,16220,2021,14/02/2021,38 080 km,Essence,Manuelle,BLANC,5.0,4 CV,(DIN) 83 ch,CITROEN,C3 III phase 2
PORSCHE 911 TYPE 992,198310,2021,20/04/2021,32 669 km,Essence,Automatique,noir metal,2.0,28 CV,(DIN) 385 ch - (moteur) 283 kW,PORSCHE,911 TYPE 992
JEEP WRANGLER III,44830,2019,24/01/2020,74 094 km,Diesel,Automatique,bleu,4.0,13 CV,(DIN) 200 ch,JEEP,WRANGLER III
MERCEDES GLC phase 2,62510,2021,05/12/2021,48 141 km,Diesel,Automatique,gris metal,5.0,14 CV,(DIN) 245 ch - (moteur) 180 kW,MERCEDES,GLC phase 2
PORSCHE MACAN phase 2,85330,2020,13/04/2020,65 454 km,Essence,Automatique,noir,5.0,25 CV,(DIN) 354 ch,PORSCHE,MACAN phase 2
RENAULT CAPTUR 2,27710,2024,08/08/2024,13 km,Essence,Manuelle,gris,5.0,5 CV,(DIN) 90 ch - (moteur) 67 kW,RENAULT,CAPTUR 2
CITROEN JUMPY III FOURGON,36840,2024,18/07/2024,1 km,Diesel,Manuelle,blanc,4.0,7 CV,(DIN) 145 ch,CITROEN,JUMPY III FOURGON
SEAT ARONA,27400,2023,23/04/2023,10 230 km,Essence,Automatique,gris,5.0,6 CV,(DIN) 110 ch,SEAT,ARONA
JAGUAR F-TYPE phase 2,76040,2019,12/02/2019,14 560 km,Essence,Automatique,gris foncé,2.0,19 CV,(DIN) 301 ch,JAGUAR,F-TYPE phase 2
VOLKSWAGEN PASSAT 8 SW,29870,2020,06/04/2020,84 441 km,Diesel,Automatique,blanc,5.0,6 CV,(DIN) 120 ch,VOLKSWAGEN,PASSAT 8 SW
VOLKSWAGEN TIGUAN II,30630,2021,31/10/2021,104 410 km,Diesel,Automatique,Gris,5.0,8 CV,(DIN) 150 ch,VOLKSWAGEN,TIGUAN II
FIAT 500 X phase 2,23830,2022,25/02/2022,31 058 km,Essence,Automatique,gris,5.0,8 CV,(DIN) 150 ch,FIAT,500 X phase 2
BMW X5 G05,68950,2020,24/08/2020,52 156 km,Diesel,Automatique,NOIR,5.0,16 CV,(DIN) 265 ch,BMW,X5 G05
MERCEDES SLK,10690,2000,29/08/2000,147 660 km,Essence,Manuelle,bleu metal,2.0,10 CV,(DIN) 193 ch - (moteur) 142 kW,MERCEDES,SLK
VOLKSWAGEN GOLF VIII GTI,44160,2023,13/08/2023,11 309 km,Essence,Automatique,blanc,5.0,14 CV,(DIN) 245 ch,VOLKSWAGEN,GOLF VIII GTI
PEUGEOT 208 II,19410,2022,29/09/2022,45 423 km,Essence,Automatique,noir metal,5.0,5 CV,(DIN) 100 ch - (moteur) 75 kW,PEUGEOT,208 II
PEUGEOT 2008 phase 2,18320,2017,03/10/2017,92 127 km,Essence,Automatique,Rouge,5.0,6 CV,(DIN) 110 ch,PEUGEOT,2008 phase 2
RENAULT CAPTUR II,23810,2021,05/07/2021,28 038 km,Essence,Automatique,gris cassiopée / toit noir,5.0,7 CV,(DIN) 131 ch,RENAULT,CAPTUR II
FORD FOCUS IV,22940,2020,20/03/2020,21 285 km,Diesel,Automatique,gris clair,5.0,6 CV,(DIN) 120 ch,FORD,FOCUS IV
RENAULT MEGANE IV,18130,2018,28/01/2019,109 384 km,Essence,Automatique,gris foncé,5.0,7 CV,(DIN) 132 ch,RENAULT,MEGANE IV
NISSAN QASHQAI III,38400,2023,16/05/2023,9 040 km,Essence,Manuelle,NOIR,5.0,7 CV,(DIN) 140 ch,NISSAN,QASHQAI III
DACIA DUSTER 2,26070,2022,08/12/2022,25 962 km,Diesel,Manuelle,orange,5.0,6 CV,(DIN) 115 ch,DACIA,DUSTER 2
CITROEN C4 III,22570,2023,12/03/2023,14 316 km,Essence,Manuelle,gris,5.0,7 CV,(DIN) 131 ch,CITROEN,C4 III
BMW SERIE 3 F80 M3 phase 2,69580,2017,04/09/2017,93 720 km,Essence,Automatique,noir metal,4.0,32 CV,(DIN) 431 ch - (moteur) 317 kW,BMW,SERIE 3 F80 M3 phase 2
FORD KUGA III,26290,2021,10/06/2021,87 997 km,Diesel,Automatique,rouge foncé,5.0,10 CV,(DIN) 190 ch,FORD,KUGA III
PEUGEOT E-208 II,25570,2022,02/05/2022,28 703 km,Electrique,Automatique,noir metal,5.0,4 CV,(DIN) 136 ch - (moteur) 100 kW,PEUGEOT,E-208 II
MINI COUNTRYMAN II,26520,2019,19/10/2019,77 700 km,Essence,Automatique,noir verni,5.0,7 CV,(DIN) 136 ch - (moteur) 100 kW,MINI,COUNTRYMAN II
MERCEDES CLASSE G IV AMG,195440,2019,14/12/2019,82 388 km,Essence,Automatique,noir,5.0,51 CV,(DIN) 585 ch,MERCEDES,CLASSE G IV AMG
MERCEDES CLASSE E V BREAK,28230,2019,04/08/2019,164 754 km,Diesel,Automatique,noir,5.0,10 CV,(DIN) 194 ch,MERCEDES,CLASSE E V BREAK
MERCEDES VITO III phase 2,68900,2022,27/07/2022,16 801 km,Diesel,Automatique,noir,5.0,10 CV,(moteur) 140 kW,MERCEDES,VITO III phase 2
CITROEN C3 III,16920,2021,07/06/2021,51 084 km,Essence,Manuelle,BLANC BAN/NOIR ON,5.0,4 CV,(DIN) 83 ch,CITROEN,C3 III
DACIA SANDERO 3 STEPWAY,17170,2023,04/11/2023,21 762 km,Essence,Manuelle,gris,5.0,5 CV,(DIN) 92 ch,DACIA,SANDERO 3 STEPWAY
FORD PUMA II,29730,2023,21/09/2023,12 km,Essence,Manuelle,bleu,5.0,8 CV,(DIN) 155 ch,FORD,PUMA II
PEUGEOT 208 phase 2,14500,2017,27/05/2017,151 988 km,Essence,Manuelle,bleu marine verni,5.0,5 CV,(DIN) 110 ch - (moteur) 81 kW,PEUGEOT,208 phase 2
RENAULT CAPTUR II,21820,2022,06/01/2023,42 253 km,Diesel,Manuelle,blanc nacré brillant / toit noir étoilé,5.0,6 CV,(DIN) 116 ch,RENAULT,CAPTUR II
BMW SERIE 3 F31 TOURING phase 2,30960,2017,30/12/2017,134 310 km,Diesel,Automatique,marron verni,5.0,15 CV,(DIN) 259 ch - (moteur) 190 kW,BMW,SERIE 3 F31 TOURING phase 2
CITROEN GRAND C4 PICASSO II,16670,2015,02/07/2015,148 200 km,Diesel,Automatique,gris,5.0,8 CV,(DIN) 150 ch,CITROEN,GRAND C4 PICASSO II
CITROEN BERLINGO II phase 3,16990,2020,18/04/2020,67 883 km,Diesel,Manuelle,blanc,5.0,5 CV,(DIN) 99 ch,CITROEN,BERLINGO II phase 3
PEUGEOT 208 (2E GENERATION),26830,2024,23/11/2024,13 km,Essence,Manuelle,blanc,5.0,5 CV,(DIN) 100 ch,PEUGEOT,208 (2E GENERATION)
PEUGEOT 508 II SW,26100,2020,18/11/2020,68 856 km,Diesel,Automatique,gris metal,5.0,6 CV,(DIN) 130 ch - (moteur) 96 kW,PEUGEOT,508 II SW
MERCEDES CLASSE A IV,42330,2021,02/01/2022,74 067 km,Hybride essence électrique,Automatique,noir,5.0,8 CV,(DIN) 218 ch,MERCEDES,CLASSE A IV
TESLA MODEL S phase 2,66580,2018,16/10/2018,87 889 km,Electrique,Automatique,GRIS FONCE,5.0,9 CV,(DIN) 340 ch,TESLA,MODEL S phase 2
MINI III 3P phase 2,29680,2022,21/12/2022,16 170 km,Electrique,Automatique,noir metal,5.0,3 CV,(DIN) 102 ch - (moteur) 135 kW,MINI,III 3P phase 2
AUDI Q5 II,49660,2021,12/12/2021,50 760 km,Diesel,Automatique,Gris,5.0,11 CV,(DIN) 190 ch,AUDI,Q5 II
VOLKSWAGEN GOLF VII phase 2,26060,2019,17/12/2019,108 214 km,Diesel,Manuelle,blanc,5.0,10 CV,(DIN) 184 ch,VOLKSWAGEN,GOLF VII phase 2
MG EHS,29230,2022,04/02/2022,78 215 km,Hybride essence électrique,Automatique,noir,5.0,8 CV,(DIN) 258 ch,MG,EHS
VOLKSWAGEN TIGUAN II,29680,2020,07/10/2020,75 020 km,Diesel,Manuelle,blanc,5.0,8 CV,(DIN) 150 ch,VOLKSWAGEN,TIGUAN II
AUDI A1 II SPORTBACK,35170,2023,02/06/2023,13 983 km,Essence,Automatique,Gris,5.0,6 CV,(DIN) 110 ch,AUDI,A1 II SPORTBACK
PEUGEOT 3008 II,25500,2020,10/02/2020,70 313 km,Essence,Automatique,blanc,5.0,7 CV,(DIN) 131 ch,PEUGEOT,3008 II
RENAULT CLIO IV phase 2,16180,2019,10/04/2019,69 976 km,Diesel,Automatique,gris,5.0,5 CV,(DIN) 90 ch,RENAULT,CLIO IV phase 2
MINI III CABRIOLET,30730,2021,25/01/2022,65 928 km,Essence,Manuelle,noir,2.0,7 CV,(DIN) 136 ch,MINI,III CABRIOLET
OPEL CORSA VI,18110,2022,02/06/2022,47 835 km,Essence,Manuelle,BLEU,5.0,5 CV,(DIN) 101 ch,OPEL,CORSA VI
MINI III CABRIOLET,30730,2021,25/01/2022,65 928 km,Essence,Manuelle,noir,2.0,7 CV,(DIN) 136 ch,MINI,III CABRIOLET
SKODA ENYAQ COUPE,62660,2023,31/12/2023,13 680 km,Electrique,Automatique,blanc,5.0,5 CV,(DIN) 105 ch,SKODA,ENYAQ COUPE
RENAULT MEGANE III phase 3,11340,2016,02/07/2016,109 761 km,Essence,Automatique,gris foncé,5.0,7 CV,(DIN) 132 ch,RENAULT,MEGANE III phase 3
CITROEN C3 III phase 2,15210,2023,20/04/2023,14 175 km,Essence,Manuelle,BLANC,5.0,4 CV,(DIN) 83 ch,CITROEN,C3 III phase 2
TOYOTA C-HR,22080,2019,11/12/2019,72 150 km,Hybride essence électrique,Automatique,bleu metal,5.0,4 CV,(DIN) 98 ch - (moteur) 90 kW,TOYOTA,C-HR
VOLKSWAGEN TIGUAN phase 2,23710,2017,30/06/2017,154 279 km,Diesel,Manuelle,noir verni,5.0,8 CV,(DIN) 150 ch - (moteur) 110 kW,VOLKSWAGEN,TIGUAN phase 2
DS 3 CROSSBACK,29620,2021,02/01/2022,54 150 km,Electrique,Automatique,BLANC BANQUISE/TOIT NOIR,5.0,4 CV,(DIN) 136 ch,DS,3 CROSSBACK
PEUGEOT 2008 II,30990,2023,13/10/2023,51 006 km,Essence,Automatique,gris,5.0,7 CV,(DIN) 131 ch,PEUGEOT,2008 II
PEUGEOT 2008 phase 2,18850,2020,10/05/2020,105 270 km,Diesel,Manuelle,rouge,5.0,5 CV,(DIN) 102 ch,PEUGEOT,2008 phase 2
CITROEN C3 AIRCROSS phase 2,24170,2023,15/12/2023,45 914 km,Diesel,Manuelle,GRIS FONCE,5.0,6 CV,(DIN) 110 ch,CITROEN,C3 AIRCROSS phase 2
RENAULT MASTER III,31520,2020,12/07/2020,61 153 km,Diesel,Manuelle,blanc,2.0,6 CV,(DIN) 131 ch,RENAULT,MASTER III
AUDI Q2 phase 2,41320,2023,15/02/2023,15 593 km,Essence,Automatique,noir,5.0,8 CV,(DIN) 150 ch,AUDI,Q2 phase 2
AUDI Q2 phase 2,40590,2023,11/06/2023,19 625 km,Essence,Automatique,rouge,5.0,8 CV,(DIN) 150 ch,AUDI,Q2 phase 2
FORD KUGA II phase 2,34360,2020,06/12/2020,111 031 km,Bicarburation essence bioéthanol,Automatique,Ruby Red (Metallic),5.0,9 CV,(DIN) 150 ch,FORD,KUGA II phase 2
NISSAN X-TRAIL III,17980,2018,03/08/2018,181 540 km,Diesel,Automatique,noir,5.0,7 CV,(DIN) 131 ch,NISSAN,X-TRAIL III
RENAULT MASTER III,29260,2019,05/06/2019,65 432 km,Diesel,Manuelle,blanc,4.0,6 CV,(DIN) 163 ch,RENAULT,MASTER III
CITROEN C3 III phase 2,16220,2021,14/02/2021,38 080 km,Essence,Manuelle,BLANC,5.0,4 CV,(DIN) 83 ch,CITROEN,C3 III phase 2
PEUGEOT 208 II,23710,2024,02/09/2024,5 017 km,Essence,Manuelle,gris foncé,4.0,5 CV,(DIN) 101 ch,PEUGEOT,208 II
KIA PICANTO III phase 2,11570,2020,29/04/2020,81 970 km,Essence,Manuelle,gris,5.0,4 CV,(DIN) 67 ch,KIA,PICANTO III phase 2
PEUGEOT 508 II,25310,2020,21/12/2020,46 669 km,Diesel,Automatique,DARK BLUE,5.0,6 CV,(DIN) 131 ch,PEUGEOT,508 II
CITROEN C3 AIRCROSS,16940,2020,14/03/2020,54 268 km,Diesel,Manuelle,bleu,5.0,5 CV,(DIN) 102 ch,CITROEN,C3 AIRCROSS
MAZDA MX5 IV ST,26020,2017,20/10/2017,65 784 km,Essence,Manuelle,rouge metal,2.0,9 CV,(DIN) 160 ch - (moteur) 118 kW,MAZDA,MX5 IV ST
BMW SERIE 5 G31 TOURING,46780,2018,06/01/2019,127 401 km,Essence,Automatique,gris foncé,5.0,23 CV,(DIN) 340 ch,BMW,SERIE 5 G31 TOURING
MERCEDES CLASSE A IV,35680,2021,21/05/2021,79 602 km,Hybride essence électrique,Automatique,noir,5.0,8 CV,(DIN) 161 ch,MERCEDES,CLASSE A IV
FIAT 500 C II phase 2,13880,2019,17/11/2019,84 892 km,Essence,Manuelle,gris,3.0,4 CV,(DIN) 69 ch,FIAT,500 C II phase 2
MERCEDES CLA II SHOOTING BRAKE,39170,2020,28/07/2020,89 458 km,Diesel,Automatique,gris,5.0,10 CV,(DIN) 190 ch,MERCEDES,CLA II SHOOTING BRAKE
VOLKSWAGEN CALIFORNIA T6,75960,2023,22/07/2023,24 138 km,Diesel,Automatique,gris,5.0,7 CV,(DIN) 150 ch,VOLKSWAGEN,CALIFORNIA T6
MERCEDES CLASSE A III,20880,2016,10/05/2016,67 481 km,Diesel,Automatique,gris,5.0,5 CV,(DIN) 109 ch,MERCEDES,CLASSE A III
BMW Z4 E89,29230,2012,23/02/2012,64 579 km,Essence,Manuelle,blanc metal,2.0,13 CV,(DIN) 204 ch - (moteur) 150 kW,BMW,Z4 E89
HYUNDAI I20 II phase 2,15100,2020,30/06/2020,52 381 km,Essence,Manuelle,New Sleek Silver,5.0,5 CV,(DIN) 101 ch,HYUNDAI,I20 II phase 2
PORSCHE 911 TYPE 991 TARGA phase 2,182590,2019,13/11/2019,29 925 km,Essence,Automatique,bleu verni,2.0,34 CV,(DIN) 450 ch - (moteur) 331 kW,PORSCHE,911 TYPE 991 TARGA phase 2
FORD MUSTANG 5 COUPE,83880,2013,25/02/2013,39 088 km,Essence,Manuelle,blanc verni,2.0,35 CV,(DIN) 750 ch,FORD,MUSTANG 5 COUPE
FIAT DUCATO III,26860,2018,12/02/2018,132 500 km,Diesel,Manuelle,blanc,4.0,8 CV,(DIN) 131 ch,FIAT,DUCATO III
RENAULT CAPTUR II,23810,2021,05/07/2021,28 038 km,Essence,Automatique,gris cassiopée / toit noir,5.0,7 CV,(DIN) 131 ch,RENAULT,CAPTUR II
FIAT DUCATO III,26860,2018,12/02/2018,132 500 km,Diesel,Manuelle,blanc,4.0,8 CV,(DIN) 131 ch,FIAT,DUCATO III
PEUGEOT 3008 II phase 2,28320,2022,28/06/2022,102 742 km,Essence,Automatique,gris foncé,5.0,7 CV,(DIN) 131 ch,PEUGEOT,3008 II phase 2
AUDI A6 V AVANT,39660,2019,10/03/2019,87 127 km,Diesel,Automatique,gris,5.0,11 CV,(DIN) 204 ch,AUDI,A6 V AVANT
AUDI A6 IV AVANT phase 2,29660,2018,26/11/2018,82 669 km,Diesel,Automatique,gris,5.0,16 CV,(DIN) 272 ch,AUDI,A6 IV AVANT phase 2
MAZDA CX-30,25490,2020,04/03/2020,80 078 km,Essence,Automatique,gris foncé,5.0,6 CV,(DIN) 122 ch,MAZDA,CX-30
CITROEN E-C4 III,31900,2024,17/02/2024,23 km,Electrique,Automatique,KTV NOIR PERLA NERA,5.0,4 CV,(DIN) 136 ch,CITROEN,E-C4 III
PEUGEOT 308 II SW phase 2,12400,2020,13/07/2020,168 936 km,Essence,Automatique,bleu,5.0,6 CV,(DIN) 131 ch,PEUGEOT,308 II SW phase 2
AUDI A3 IV SPORTBACK,47170,2021,02/07/2021,28 435 km,Diesel,Automatique,noir,5.0,8 CV,(DIN) 150 ch,AUDI,A3 IV SPORTBACK
PEUGEOT 208 phase 2,13630,2019,21/04/2019,38 213 km,Essence,Manuelle,platine,5.0,4 CV,(DIN) 82 ch,PEUGEOT,208 phase 2
MINI III 3P,34090,2020,07/10/2020,58 075 km,Essence,Automatique,noir,3.0,10 CV,(DIN) 192 ch - (moteur) 141 kW,MINI,III 3P
VOLKSWAGEN TRANSPORTER VI phase 2,41380,2021,31/08/2021,52 785 km,Diesel,Automatique,blanc,4.0,7 CV,(DIN) 150 ch,VOLKSWAGEN,TRANSPORTER VI phase 2
RENAULT GRAND SCENIC III phase 3,14880,2015,22/01/2016,111 230 km,Diesel,Manuelle,noir,5.0,7 CV,(DIN) 131 ch,RENAULT,GRAND SCENIC III phase 3
PORSCHE BOXSTER TYPE 986,23080,1999,24/02/1999,100 870 km,Essence,Manuelle,gris clair,2.0,13 CV,(DIN) 204 ch,PORSCHE,BOXSTER TYPE 986
SUZUKI SWIFT IV,16490,2022,11/03/2022,26 336 km,Essence,Manuelle,gris,5.0,4 CV,(DIN) 83 ch,SUZUKI,SWIFT IV
VOLKSWAGEN T-ROC,27350,2019,13/07/2019,85 725 km,Diesel,Manuelle,gris foncé metal,5.0,6 CV,(DIN) 116 ch - (moteur) 85 kW,VOLKSWAGEN,T-ROC
RENAULT CAPTUR 2,33080,2023,27/09/2023,2 605 km,Hybride essence électrique,Automatique,orange,5.0,7 CV,(DIN) 140 ch - (moteur) 103 kW,RENAULT,CAPTUR 2
OPEL CORSA VI,15210,2022,06/01/2023,40 181 km,Essence,Manuelle,BLEU,5.0,5 CV,(DIN) 101 ch,OPEL,CORSA VI
VOLKSWAGEN TIGUAN II,19930,2018,22/09/2018,131 250 km,Diesel,Manuelle,noir,5.0,8 CV,(DIN) 150 ch,VOLKSWAGEN,TIGUAN II
BMW X2 F39,35680,2021,18/09/2021,19 583 km,Hybride essence électrique,Automatique,noir,5.0,6 CV,(DIN) 220 ch,BMW,X2 F39
VOLKSWAGEN TIGUAN II,19690,2017,04/02/2017,134 750 km,Diesel,Manuelle,Blanc,5.0,8 CV,(DIN) 150 ch,VOLKSWAGEN,TIGUAN II
SKODA SUPERB III COMBI phase 2,34470,2021,29/04/2021,22 195 km,Hybride essence électrique,Automatique,Blanc,5.0,8 CV,(DIN) 156 ch,SKODA,SUPERB III COMBI phase 2
CITROEN BERLINGO III MULTISPACE,27040,2020,13/03/2020,66 917 km,Essence,Automatique,bleu foncé,5.0,7 CV,(DIN) 131 ch,CITROEN,BERLINGO III MULTISPACE
AUDI Q3 II SPORTBACK,50000,2023,05/07/2023,20 324 km,Essence,Automatique,gris,5.0,8 CV,(DIN) 150 ch,AUDI,Q3 II SPORTBACK
PEUGEOT 3008 II,28300,2021,01/01/2022,36 192 km,Essence,Manuelle,blanc,5.0,7 CV,(DIN) 131 ch,PEUGEOT,3008 II
PEUGEOT 208 II,17790,2021,02/01/2022,54 312 km,Diesel,Manuelle,BLANC BANQUISE,5.0,5 CV,(DIN) 102 ch,PEUGEOT,208 II
JAGUAR I-PACE,54870,2020,09/06/2020,76 773 km,Electrique,Automatique,gris metal,5.0,10 CV,(DIN) 234 ch - (moteur) 294 kW,JAGUAR,I-PACE
AUDI A6 V,47280,2022,29/01/2023,54 242 km,Diesel,Automatique,gris,4.0,11 CV,(DIN) 204 ch,AUDI,A6 V
FIAT PANDA III,11640,2021,12/01/2022,73 459 km,Essence,Manuelle,ROUGE CLAIR,5.0,4 CV,(DIN) 69 ch,FIAT,PANDA III
PEUGEOT 208 II,25970,2023,24/07/2023,3 678 km,Essence,Manuelle,BLANC NACRE,5.0,5 CV,(DIN) 101 ch,PEUGEOT,208 II
DACIA SANDERO 3 STEPWAY,20460,2024,05/09/2024,11 km,Essence,Manuelle,noir,5.0,5 CV,(DIN) 90 ch,DACIA,SANDERO 3 STEPWAY
DACIA DUSTER phase 2,20610,2019,26/05/2019,65 540 km,Diesel,Automatique,gris,5.0,6 CV,(DIN) 109 ch,DACIA,DUSTER phase 2
CITROEN C5 X,51220,2023,22/05/2023,12 188 km,Hybride essence électrique,Automatique,GRIS,5.0,10 CV,(DIN) 180 ch,CITROEN,C5 X
TESLA MODEL X,61030,2018,01/05/2018,147 852 km,Electrique,Automatique,noir metal,5.0,9 CV,(DIN) 417 ch - (moteur) 307 kW,TESLA,MODEL X
CITROEN C3 III phase 2,16370,2021,15/09/2021,38 420 km,Essence,Manuelle,BLANC,5.0,4 CV,(DIN) 83 ch,CITROEN,C3 III phase 2
PEUGEOT 3008 (2E GENERATION),38590,2023,24/11/2023,10 976 km,Essence,Automatique,bleu,5.0,7 CV,(DIN) 130 ch,PEUGEOT,3008 (2E GENERATION)
PEUGEOT 3008 II,29020,2020,05/04/2020,75 813 km,Essence,Manuelle,ROUGE ULTIMATE,5.0,7 CV,(DIN) 131 ch,PEUGEOT,3008 II
SEAT LEON III phase 2,17900,2022,05/02/2022,82 882 km,Essence,Manuelle,gris clair,5.0,6 CV,(DIN) 116 ch,SEAT,LEON III phase 2
RENAULT KOLEOS II,26560,2018,03/09/2018,75 226 km,Diesel,Automatique,noir,5.0,10 CV,(DIN) 177 ch,RENAULT,KOLEOS II
JAGUAR XE,29250,2018,20/10/2018,87 260 km,Diesel,Automatique,noir,5.0,9 CV,(DIN) 180 ch,JAGUAR,XE
FIAT DUCATO III phase 2,36880,2022,03/04/2022,61 254 km,Diesel,Manuelle,blanc,4.0,8 CV,(DIN) 140 ch - (moteur) 103 kW,FIAT,DUCATO III phase 2
RENAULT CAPTUR II,25660,2021,07/07/2021,15 182 km,Essence,Automatique,blanc,5.0,7 CV,(DIN) 131 ch,RENAULT,CAPTUR II
VOLKSWAGEN T-ROC,22660,2020,20/04/2020,68 013 km,Essence,Manuelle,marron,5.0,6 CV,(DIN) 116 ch,VOLKSWAGEN,T-ROC
BMW X1 F48,31030,2019,04/12/2019,90 476 km,Diesel,Automatique,gris,5.0,8 CV,(DIN) 150 ch,BMW,X1 F48
OPEL MOKKA II,33290,2023,27/03/2023,5 577 km,Essence,Automatique,Noir Karbon,5.0,7 CV,(DIN) 131 ch,OPEL,MOKKA II
AUDI A6 IV AVANT,26980,2013,15/06/2013,140 400 km,Essence,Automatique,noir,5.0,20 CV,(DIN) 299 ch,AUDI,A6 IV AVANT
FORD TRANSIT IV,30130,2020,29/08/2020,75 599 km,Diesel,Manuelle,blanc opaque (verni sans reflet),4.0,7 CV,(DIN) 131 ch - (moteur) 96 kW,FORD,TRANSIT IV
MERCEDES CLASSE C 4 SW,40230,2020,09/05/2020,101 412 km,Diesel,Automatique,noir,5.0,14 CV,(DIN) 245 ch,MERCEDES,CLASSE C 4 SW
OPEL INSIGNIA II SPORTS TOURER phase 2,26860,2022,26/07/2022,71 851 km,Diesel,Automatique,noir,5.0,9 CV,(DIN) 174 ch,OPEL,INSIGNIA II SPORTS TOURER phase 2
